episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
119,Q005,0.4797,4,3,accepted,1,1.0,21.294,5063,512,225,0.001793,-0.518279,nan,-0.479531,-0.545248,-0.588592,True
120,Q071,0.5096,4,3,accepted,1,1.0,33.118,2888,516,227,0.016466,-0.533327,nan,-0.467314,-0.532023,-0.596749,True
121,Q081,0.4699,4,3,accepted,1,1.0,24.357,3535,520,229,0.002582,-0.510075,nan,-0.38648,-0.487527,-0.585857,True
122,Q002,0.535,4,3,accepted,1,1.0,26.047,3010,524,231,0.006308,-0.493965,nan,-0.4108,-0.500856,-0.608854,True
123,Q081,0.4828,4,3,accepted,1,1.0,25.099,3539,528,233,0.002249,-0.515142,nan,-0.486275,-0.55335,-0.653632,True
124,Q021,0.5204,4,3,accepted,1,1.0,43.097,4156,532,235,0.001627,-0.4836,nan,-0.45602,-0.509348,-0.608165,True
125,Q044,0.4096,4,3,accepted,1,1.0,19.173,3786,536,237,0.004243,-0.547014,nan,-0.490307,-0.551696,-0.612596,True
126,Q038,0.5211,4,3,accepted,1,1.0,18.001,4690,540,239,0.002554,-0.530258,nan,-0.501035,-0.52767,-0.601302,True
127,Q069,0.4946,4,3,accepted,1,1.0,26.578,2680,544,241,0.003718,-0.52906,nan,-0.45929,-0.512525,-0.566954,True
128,Q036,0.4025,4,3,accepted,1,1.0,27.133,7184,548,243,0.002947,-0.627464,nan,-0.458448,-0.516162,-0.60955,True
129,Q052,0.1705,4,3,accepted,1,0.6,27.048,3604,552,245,0.00374,-0.529767,nan,-0.449474,-0.487081,-0.602642,True
130,Q060,-0.6717,10,7,rejected,0,0.75,30.115,12853,562,250,0.012802,-0.475069,nan,-0.451504,-0.507473,-0.600026,True
131,Q041,0.5772,4,3,accepted,1,1.0,31.477,2927,566,252,0.003084,-0.472052,nan,-0.393884,-0.454132,-0.572908,True
132,Q059,0.1334,7,5,accepted,1,1.0,23.849,7616,573,255,0.005777,-0.567385,nan,-0.472741,-0.53076,-0.586993,True
133,Q042,0.3902,4,3,accepted,1,0.6667,33.211,3197,577,257,0.010321,-0.540993,nan,-0.465633,-0.506408,-0.591753,True
